Time,Queue Size,Event
2.272,5,size
2.28,4,size
2.288,3,size
2.296,2,size
2.301,3,size
2.301,4,size
2.304,3,size
2.309,4,size
2.309,5,size
2.312,4,size
2.317,5,size
2.317,6,size
2.32,5,size
2.325,6,size
2.325,7,size
2.328,6,size
2.333,7,size
2.333,8,size
2.336,7,size
2.341,8,size
2.341,9,size
2.344,8,size
2.349,9,size
2.349,10,size
2.352,9,size
2.357,10,size
2.357,11,size
2.36,10,size
2.365,11,size
2.365,12,size
2.368,11,size
2.373,12,size
2.373,13,size
2.376,12,size
2.381,13,size
2.381,14,size
2.384,13,size
2.389,14,size
2.389,15,size
2.392,14,size
2.397,15,size
2.397,16,size
2.4,15,size
2.405,16,size
2.405,17,size
2.408,16,size
2.413,17,size
2.413,18,size
2.416,17,size
2.421,18,size
2.421,19,size
2.424,18,size
2.429,19,size
2.429,20,size
2.432,19,size
2.437,20,size
2.437,21,size
2.44,20,size
2.445,21,size
2.445,22,size
2.448,21,size
2.453,22,size
2.453,23,size
2.456,22,size
2.461,23,size
2.461,24,size
2.464,23,size
2.469,24,size
2.469,25,size
2.472,24,size
2.477,25,size
2.477,26,size
2.48,25,size
2.485,26,size
2.485,27,size
2.488,26,size
2.493,27,size
2.493,28,size
2.496,27,size
2.501,28,size
2.501,29,size
2.504,28,size
2.509,29,size
2.509,30,size
2.512,29,size
2.517,30,size
2.517,31,size
2.52,30,size
2.525,31,size
2.525,32,size
2.528,31,size
2.533,32,size
2.536,31,size
2.541,32,size
2.544,31,size
2.549,32,size
2.552,31,size
2.557,32,size
2.56,31,size
2.565,32,size
2.568,31,size
2.573,32,size
2.576,31,size
2.581,32,size
2.584,31,size
2.589,32,size
2.592,31,size
2.597,32,size
2.6,31,size
2.605,32,size
2.608,31,size
2.613,32,size
2.616,31,size
2.621,32,size
2.624,31,size
2.629,32,size
2.632,31,size
2.637,32,size
2.64,31,size
2.645,32,size
2.648,31,size
2.653,32,size
2.656,31,size
2.661,32,size
2.664,31,size
2.669,32,size
2.672,31,size
2.677,32,size
2.68,31,size
2.685,32,size
2.688,31,size
2.693,32,size
2.696,31,size
2.701,32,size
2.704,31,size
2.709,32,size
2.712,31,size
2.717,32,size
2.72,31,size
2.725,32,size
2.728,31,size
2.733,32,size
2.736,31,size
2.741,32,size
2.744,31,size
2.749,32,size
2.752,31,size
2.757,32,size
2.76,31,size
2.765,32,size
2.768,31,size
2.773,32,size
2.776,31,size
2.781,32,size
2.784,31,size
2.789,32,size
2.792,31,size
2.797,32,size
2.8,31,size
2.805,32,size
2.808,31,size
2.813,32,size
2.816,31,size
2.821,32,size
2.824,31,size
2.829,32,size
2.832,31,size
2.837,32,size
2.84,31,size
2.845,32,size
2.848,31,size
2.853,32,size
2.856,31,size
2.861,32,size
2.864,31,size
2.869,32,size
2.872,31,size
2.877,32,size
2.88,31,size
2.885,32,size
2.888,31,size
2.893,32,size
2.893,33,size
2.896,32,size
2.901,33,size
2.904,32,size
2.909,33,size
2.912,32,size
2.917,33,size
2.92,32,size
2.925,33,size
2.928,32,size
2.933,33,size
2.936,32,size
2.941,33,size
2.944,32,size
2.949,33,size
2.952,32,size
2.957,33,size
2.96,32,size
2.965,33,size
2.968,32,size
2.973,33,size
2.976,32,size
2.981,33,size
2.984,32,size
2.989,33,size
2.992,32,size
2.997,33,size
3.0,32,size
3.005,33,size
3.008,32,size
3.013,33,size
3.016,32,size
3.021,33,size
3.024,32,size
3.029,33,size
3.032,32,size
3.037,33,size
3.04,32,size
3.045,33,size
3.048,32,size
3.053,33,size
3.056,32,size
3.061,33,size
3.064,32,size
3.069,33,size
3.072,32,size
3.077,33,size
3.08,32,size
3.085,33,size
3.088,32,size
3.093,33,size
3.096,32,size
3.101,33,size
3.104,32,size
3.109,33,size
3.112,32,size
3.117,33,size
3.12,32,size
