Time,Sequence Number,Event
1.041,156000,send
1.044,92000,transmit
1.049,78000,ack
1.049,157000,send
1.049,158000,send
1.052,93000,transmit
1.057,79000,ack
1.057,159000,send
1.057,160000,send
1.06,94000,transmit
1.065,80000,ack
1.065,161000,send
1.065,162000,send
1.068,95000,transmit
1.073,81000,ack
1.073,163000,send
1.073,164000,send
1.076,96000,transmit
1.081,82000,ack
1.081,165000,send
1.081,166000,send
1.084,97000,transmit
1.089,83000,ack
1.089,167000,send
1.089,168000,send
1.092,98000,transmit
1.097,84000,ack
1.097,169000,send
1.097,170000,send
1.1,99000,transmit
1.105,85000,ack
1.105,171000,send
1.105,172000,send
1.108,100000,transmit
1.113,86000,ack
1.113,173000,send
1.113,174000,send
1.116,101000,transmit
1.121,87000,ack
1.121,175000,send
1.121,176000,send
1.124,102000,transmit
1.129,88000,ack
1.129,177000,send
1.129,178000,send
1.132,103000,transmit
1.137,89000,ack
1.137,179000,send
1.137,180000,send
1.14,104000,transmit
1.145,89000,ack
1.148,105000,transmit
1.153,89000,ack
1.156,106000,transmit
1.161,89000,ack
1.161,90000,send
1.164,107000,transmit
1.169,89000,ack
1.172,108000,transmit
1.177,89000,ack
1.18,109000,transmit
1.185,89000,ack
1.188,110000,transmit
1.193,89000,ack
1.196,111000,transmit
1.201,89000,ack
1.204,112000,transmit
1.209,89000,ack
1.212,113000,transmit
1.217,89000,ack
1.22,114000,transmit
1.225,89000,ack
1.228,115000,transmit
1.233,89000,ack
1.236,116000,transmit
1.241,89000,ack
1.244,117000,transmit
1.249,89000,ack
1.252,118000,transmit
1.257,89000,ack
1.26,119000,transmit
1.265,89000,ack
1.268,120000,transmit
1.273,89000,ack
1.276,121000,transmit
1.281,89000,ack
1.284,122000,transmit
1.289,89000,ack
1.292,123000,transmit
1.297,89000,ack
1.3,124000,transmit
1.305,89000,ack
1.308,125000,transmit
1.313,89000,ack
1.316,126000,transmit
1.321,89000,ack
1.324,127000,transmit
1.329,89000,ack
1.332,128000,transmit
1.337,89000,ack
1.34,129000,transmit
1.345,89000,ack
1.348,130000,transmit
1.353,89000,ack
1.356,131000,transmit
1.361,89000,ack
1.364,132000,transmit
1.369,89000,ack
1.372,133000,transmit
1.377,89000,ack
1.38,134000,transmit
1.385,89000,ack
1.388,135000,transmit
1.393,89000,ack
1.396,136000,transmit
1.401,89000,ack
1.404,137000,transmit
1.409,89000,ack
1.412,138000,transmit
1.417,89000,ack
1.42,139000,transmit
1.425,89000,ack
1.428,140000,transmit
1.433,89000,ack
1.436,141000,transmit
1.441,89000,ack
1.444,142000,transmit
1.449,89000,ack
1.452,143000,transmit
1.457,89000,ack
1.46,144000,transmit
1.465,89000,ack
1.468,145000,transmit
1.473,89000,ack
1.476,146000,transmit
1.481,89000,ack
1.484,147000,transmit
1.489,89000,ack
1.492,148000,transmit
1.497,89000,ack
1.5,149000,transmit
1.505,89000,ack
1.508,150000,transmit
1.513,89000,ack
1.516,151000,transmit
1.521,89000,ack
1.524,152000,transmit
1.529,89000,ack
1.532,153000,transmit
1.537,89000,ack
1.54,154000,transmit
1.545,89000,ack
1.548,155000,transmit
1.553,89000,ack
1.556,156000,transmit
1.561,89000,ack
1.564,157000,transmit
1.569,89000,ack
1.572,158000,transmit
1.577,89000,ack
1.58,159000,transmit
1.585,89000,ack
1.588,160000,transmit
1.593,89000,ack
1.596,161000,transmit
1.601,89000,ack
1.604,162000,transmit
1.609,89000,ack
1.612,163000,transmit
1.617,89000,ack
1.62,164000,transmit
1.625,89000,ack
1.628,165000,transmit
1.633,89000,ack
1.636,166000,transmit
1.641,89000,ack
1.644,167000,transmit
1.649,89000,ack
1.652,168000,transmit
1.657,89000,ack
1.66,169000,transmit
1.665,89000,ack
1.668,170000,transmit
1.673,89000,ack
1.676,171000,transmit
1.681,89000,ack
1.684,172000,transmit
1.689,89000,ack
1.692,173000,transmit
1.697,89000,ack
1.7,174000,transmit
1.705,89000,ack
1.708,175000,transmit
1.713,89000,ack
1.716,176000,transmit
1.721,89000,ack
1.724,177000,transmit
1.729,89000,ack
1.732,178000,transmit
1.737,89000,ack
1.74,179000,transmit
1.745,89000,ack
1.748,180000,transmit
1.753,89000,ack
1.756,90000,transmit
1.761,89000,ack
1.769,89000,ack
1.777,89000,ack
1.785,89000,ack
1.793,89000,ack
1.801,89000,ack
1.809,89000,ack
1.817,89000,ack
1.825,89000,ack
1.833,89000,ack
1.841,89000,ack
1.849,89000,ack
1.857,89000,ack
1.865,180000,ack
1.865,181000,send
1.865,182000,send
1.865,181000,transmit
1.873,182000,transmit
1.974,181000,ack
1.974,183000,send
1.974,184000,send
1.974,183000,transmit
1.982,184000,transmit
1.982,182000,ack
1.982,185000,send
1.982,186000,send
1.99,185000,transmit
1.998,186000,transmit
2.083,183000,ack
2.083,187000,send
2.083,188000,send
2.083,187000,transmit
2.091,188000,transmit
2.091,184000,ack
2.091,189000,send
2.091,190000,send
2.099,189000,transmit
2.099,185000,ack
2.099,191000,send
2.099,192000,send
2.107,190000,transmit
2.107,186000,ack
2.107,193000,send
2.107,194000,send
2.115,191000,transmit
2.123,192000,transmit
2.131,193000,transmit
2.139,194000,transmit
2.192,187000,ack
2.192,195000,send
2.192,196000,send
2.192,195000,transmit
2.2,196000,transmit
2.2,188000,ack
2.2,197000,send
2.2,198000,send
2.208,197000,transmit
2.208,189000,ack
2.208,199000,send
2.208,200000,send
2.216,198000,transmit
2.216,190000,ack
2.216,201000,send
2.216,202000,send
2.224,199000,transmit
2.224,191000,ack
2.224,203000,send
2.224,204000,send
2.232,200000,transmit
2.232,192000,ack
2.232,205000,send
2.232,206000,send
2.24,201000,transmit
2.24,193000,ack
2.24,207000,send
2.24,208000,send
2.248,202000,transmit
2.248,194000,ack
2.248,209000,send
2.248,210000,send
2.256,203000,transmit
2.264,204000,transmit
2.272,205000,transmit
2.28,206000,transmit
2.288,207000,transmit
2.296,208000,transmit
2.301,195000,ack
2.301,211000,send
2.301,212000,send
2.304,209000,transmit
2.309,196000,ack
2.309,213000,send
2.309,214000,send
2.312,210000,transmit
2.317,197000,ack
2.317,215000,send
2.317,216000,send
2.32,211000,transmit
2.325,198000,ack
2.325,217000,send
2.325,218000,send
2.328,212000,transmit
2.333,199000,ack
2.333,219000,send
2.333,220000,send
2.336,213000,transmit
2.341,200000,ack
2.341,221000,send
2.341,222000,send
2.344,214000,transmit
2.349,201000,ack
2.349,223000,send
2.349,224000,send
2.352,215000,transmit
2.357,202000,ack
2.357,225000,send
2.357,226000,send
2.36,216000,transmit
2.365,203000,ack
2.365,227000,send
2.365,228000,send
2.368,217000,transmit
2.373,204000,ack
2.373,229000,send
2.373,230000,send
2.376,218000,transmit
2.381,205000,ack
2.381,231000,send
2.381,232000,send
2.384,219000,transmit
2.389,206000,ack
2.389,233000,send
2.389,234000,send
2.392,220000,transmit
2.397,207000,ack
2.397,235000,send
2.397,236000,send
2.4,221000,transmit
2.405,208000,ack
2.405,237000,send
2.405,238000,send
2.408,222000,transmit
2.413,209000,ack
2.413,239000,send
2.413,240000,send
2.416,223000,transmit
2.421,210000,ack
2.421,241000,send
2.421,242000,send
2.424,224000,transmit
2.429,211000,ack
2.429,243000,send
2.429,244000,send
2.432,225000,transmit
2.437,212000,ack
2.437,245000,send
2.437,246000,send
2.44,226000,transmit
2.445,213000,ack
2.445,247000,send
2.445,248000,send
2.448,227000,transmit
