Time,Sequence Number,Event
0,0,send
0,1000,send
0,2000,send
0,0,transmit
0.0008,2000,transmit
0.0118,0,ack
0.0118,3000,send
0.0118,3000,transmit
0.0126,0,ack
0.0236,0,ack
1.0236,1000,send
1.0236,1000,transmit
1.0354,3000,ack
1.0354,4000,send
1.0354,5000,send
1.0354,6000,send
1.0354,5000,transmit
1.0362,6000,transmit
1.0472,3000,ack
2.0472,4000,send
2.0472,4000,transmit
2.059,6000,ack
2.059,7000,send
2.059,8000,send
2.059,9000,send
2.059,7000,transmit
2.0598,8000,transmit
2.0606,9000,transmit
2.0708,7000,ack
2.0716,8000,ack
2.0724,9000,ack
